analysis_name,human_readable_name,units,location
USGS01059000.discharge.median,Androscoggin River,ft^3/s,"Androscoggin River near Auburn, Maine"
USGS01059000.discharge.q25,Androscoggin River,ft^3/s,"Androscoggin River near Auburn, Maine"
USGS01059000.discharge.q75,Androscoggin River,ft^3/s,"Androscoggin River near Auburn, Maine"
WeCoSh.chlor,WMCC (Chl),mg m^-7,Western Maine Coastal Shelf
WeCoSh.chlor.median,WMCC (Chl),mg m^-8,Western Maine Coastal Shelf
WeCoSh.chlor.q25,WMCC (Chl),mg m^-9,Western Maine Coastal Shelf
WeCoSh.chlor.q75,WMCC (Chl),mg m^-10,Western Maine Coastal Shelf
WeCoSh.sst,WMCC (SST),Celsius,Western Maine Coastal Shelf
WeCoSh.sst.median,WMCC (SST),Celsius,Western Maine Coastal Shelf
WeCoSh.sst.q25,WMCC (SST),Celsius,Western Maine Coastal Shelf
WeCoSh.sst.q75,WMCC (SST),Celsius,Western Maine Coastal Shelf
WilkBsn.chlor,WB (Chl),mg m^-8,Wilkinson Basin
WilkBsn.chlor.median,WB (Chl),mg m^-9,Wilkinson Basin
WilkBsn.chlor.q25,WB (Chl),mg m^-10,Wilkinson Basin
WilkBsn.chlor.q75,WB (Chl),mg m^-11,Wilkinson Basin
WilkBsn.sst,WB (SST),Celsius,Wilkinson Basin
WilkBsn.sst.median,WB (SST),Celsius,Wilkinson Basin
WilkBsn.sst.q25,WB (SST),Celsius,Wilkinson Basin
WilkBsn.sst.q75,WB (SST),Celsius,Wilkinson Basin
