buoy,date,depth,temperature,salinity,sigma_t
M01,2008-09-01,1,14.819314652777777,32.320271902777776,23.943966828472224
M01,2008-09-01,996921e31,7.459085,33.81382852916666,26.420603443055555
M01,2008-10-01,1,12.277346774193548,32.58962593817204,24.661376050403227
M01,2008-10-01,996921e31,7.614386693548387,32.44719703763441,25.324530938172042
M01,2008-11-01,1,9.850537430555555,32.65117398125,25.139923775
M01,2008-11-01,996921e31,7.521099027777778,32.502060659722225,25.38067464375
M01,2008-12-01,1,7.812249260752688,32.809610781586024,25.579965595430107
M01,2008-12-01,996921e31,7.315698521505376,32.496890973118276,25.404966057123655
M01,2009-01-01,1,5.948951612903226,33.07751551545699,26.038845934811828
M01,2009-01-01,996921e31,7.501266599462365,32.55274380443549,25.42303788172043
M01,2009-02-01,1,4.4916780505952385,32.86995859151786,26.040844534226192
M01,2009-02-01,996921e31,7.6999253720238094,32.58444986383929,25.420328661458335
M01,2009-03-01,1,3.890810998650472,32.584857595816466,25.875621492577597
M01,2009-03-01,996921e31,7.444751349527666,33.07315804385965,25.840375779352225
M01,2009-04-01,1,4.867116527777778,32.39799380833333,25.625519872916666
M01,2009-04-01,996921e31,7.333489236111111,34.33094114375,26.845291639583333
M01,2009-05-01,1,7.289480107526882,32.02064209408602,25.027780163978495
M01,2009-05-01,996921e31,7.078833534946236,34.31730613306451,26.87029615860215
M01,2009-06-01,1,10.657639652777778,32.17554126736111,24.629794266666668
M01,2009-06-01,996921e31,7.025892638888889,34.276852903472225,26.845760916666666
M01,2009-07-01,1,14.77971686827957,32.22695462701613,23.8765395047043
M01,2009-07-01,996921e31,7.000165456989247,34.242518323924735,26.82225934408602
M01,2009-08-01,1,17.20248682795699,32.243800414650536,23.348738346774194
M01,2009-08-01,996921e31,7.161490793010753,34.25534870833334,26.809922290994624
M01,2009-09-01,1,15.220849305555555,32.46070609861111,23.96548070763889
M01,2009-09-01,996921e31,7.631606666666666,34.36599016388889,26.829902897916668
M01,2009-10-01,1,11.945463157894737,32.9469926511471,25.001173265182185
M01,2009-10-01,996921e31,8.214278272604588,34.49198976045884,26.842860860323885
M01,2009-11-01,1,10.246488472222222,32.880427427777775,25.255746813888887
M01,2009-11-01,996921e31,8.039848888888889,34.43530160486111,26.82457028125
M01,2009-12-01,1,8.40656001344086,32.74390776075269,25.43880782795699
M01,2009-12-01,996921e31,7.8508065860215055,34.31705791666667,26.759788474462365
M01,2010-01-01,1,5.641548454301075,32.38219478293011,25.52399800672043
M01,2010-01-01,996921e31,7.795069623655914,34.253062996639784,26.717698962365592
M01,2010-02-01,1,3.888404017857143,32.1080820297619,25.49630994122024
M01,2010-02-01,996921e31,7.785361160714285,34.22362051116072,26.69598221577381
M01,2010-03-01,1,3.6571477150537635,31.754240491935484,25.235095152553765
M01,2010-03-01,996921e31,7.935294690860215,34.214813416666665,26.66689256048387
M01,2010-04-01,1,5.392442361111111,31.68627495138889,25.001353340972223
M01,2010-04-01,996921e31,8.327004722222222,34.308811516666665,26.682013491666666
M01,2010-05-01,1,8.46927123655914,31.737634164650537,24.625902775537636
M01,2010-05-01,996921e31,8.365610954301076,34.283882078629034,26.65662058870968
M01,2010-06-01,1,12.32111708507671,32.18180910320781,24.331963438633196
M01,2010-06-01,996921e31,8.48655369595537,34.315907652719666,26.662697769874477
M01,2010-07-01,1,16.93769495967742,32.09888297446236,23.295736235215053
M01,2010-07-01,996921e31,9.085175470430107,34.53372846706989,26.73959613844086
M01,2010-08-01,1,16.977995362903226,32.31939161626344,23.46080002217742
M01,2010-08-01,996921e31,9.061223387096774,34.56586713172043,26.76855436760753
M01,2010-09-01,1,15.667157708333333,32.38998751111111,23.807708463194444
M01,2010-09-01,996921e31,9.265664930555555,34.64926814513889,26.800672425694444
M01,2010-10-01,1,12.486767674731183,32.85239313373656,24.826593483198923
M01,2010-10-01,996921e31,9.061311491935484,34.581907922715054,26.78107662903226
M01,2010-11-01,1,10.50396638888889,33.286597552083336,25.527528051388888
M01,2010-11-01,996921e31,8.937136944444445,34.516380130555554,26.749750039583333
M01,2010-12-01,1,8.465429771505377,32.821761272849464,25.4931231297043
M01,2010-12-01,996921e31,9.310024126344086,34.60860136760753,26.76132042607527
M01,2011-01-01,1,5.9506307795698925,32.03370669489247,25.213013206317203
